seed	task	arm	arm_label	outcome	reward	f2p_passed	f2p_total	p2p_passed	p2p_total	agent_s	skill_commit
cand1-s1	sympy-21627-cosh-is-zero-recursion	harness	cand1	completed	1	1	1	26	26	144	521163845
cand1-s1	sympy-23191-vector-pretty-print-order	harness	cand1	completed	0	0	1	3	3	408	521163845
cand1-s1	sympy-24102-parse-mathematica-greek	harness	cand1	completed	0	1	2	0	0	90	521163845
cand1-s1	sympy-24909-milli-prefix-product	harness	cand1	completed	0	0	1	2	2	126	521163845
cand1-s2	sympy-21627-cosh-is-zero-recursion	harness	cand1	completed	0	0	1	26	26	176	521163845
cand1-s2	sympy-23191-vector-pretty-print-order	harness	cand1	completed	0	0	1	3	3	347	521163845
cand1-s2	sympy-24102-parse-mathematica-greek	harness	cand1	completed	0	1	2	0	0	81	521163845
cand1-s2	sympy-24909-milli-prefix-product	harness	cand1	completed	0	0	1	2	2	147	521163845
cand1-s3	sympy-21627-cosh-is-zero-recursion	harness	cand1	completed	0	0	1	26	26	260	521163845
cand1-s3	sympy-23191-vector-pretty-print-order	harness	cand1	completed	0	0	1	3	3	240	521163845
cand1-s3	sympy-24102-parse-mathematica-greek	harness	cand1	completed	0	1	2	0	0	78	521163845
cand1-s3	sympy-24909-milli-prefix-product	harness	cand1	completed	0	0	1	2	2	119	521163845
cand2-s1	sympy-21627-cosh-is-zero-recursion	harness	cand2	completed	1	1	1	26	26	194	3c5c3b656
cand2-s1	sympy-23191-vector-pretty-print-order	harness	cand2	completed	0	0	1	3	3	454	3c5c3b656
cand2-s1	sympy-24102-parse-mathematica-greek	harness	cand2	completed	0	1	2	0	0	108	3c5c3b656
cand2-s1	sympy-24909-milli-prefix-product	harness	cand2	completed	0	0	1	2	2	99	3c5c3b656
cand2-s2	sympy-21627-cosh-is-zero-recursion	harness	cand2	completed	0	0	1	26	26	309	3c5c3b656
cand2-s2	sympy-23191-vector-pretty-print-order	harness	cand2	completed	0	0	1	3	3	325	3c5c3b656
